statement_number,statement,truth,age,gender,filename
46,Venus rotates clockwise.,TRUE,young,female,"audio/True_46,_Voice_Y1.wav"
47,A group of crows is called a murder.,TRUE,young,female,"audio/True_47,_Voice_Y1.wav"
48,Nepal is the only country whose national flag is not rectangular.,TRUE,young,female,"audio/True_48,_Voice_Y1.wav"
49,Owls can see the color blue.,TRUE,young,female,"audio/True_49,_Voice_Y1.wav"
50,France’s land area is smaller than Colombia’s.,TRUE,young,female,"audio/True_50,_Voice_Y1.wav"
51,The United States has no official language.,TRUE,young,female,"audio/True_51,_Voice_Y1.wav"
52,An ostrich’s eye is larger than its brain.,TRUE,young,female,"audio/True_52,_Voice_Y1.wav"
53,Jimmy Carter was the first U.S. president born in a hospital.,TRUE,young,female,"audio/True_53,_Voice_Y1.wav"
54,James Madison was the shortest U.S. president.,TRUE,young,female,"audio/True_54,_Voice_Y1.wav"
55,Three U.S. presidents have been awarded honorary knighthood.,TRUE,young,female,"audio/True_55,_Voice_Y1.wav"
56,Chameleons’ tongues can stretch to two times their body length.,TRUE,young,female,"audio/True_56,_Voice_Y1.wav"
57,The cheetah is the only cat that cannot retract its claws.,TRUE,young,female,"audio/True_57,_Voice_Y1.wav"
58,The large intestine is about 5 feet long.,TRUE,young,female,"audio/True_58,_Voice_Y1.wav"
59,The first trains went into operation in the 1700s.,TRUE,young,female,"audio/True_59,_Voice_Y1.wav"
60,The first VCR was made in 1969.,TRUE,young,female,"audio/True_60,_Voice_Y1.wav"
61,Roughly 3% of the world’s water is fresh water.,TRUE,young,female,"audio/True_61,_Voice_Y1.wav"
62,"In Ancient Egypt, a yard was the length of a man’s arm from nose to tip.",TRUE,young,female,"audio/True_62,_Voice_Y1.wav"
63,The blue whale is the largest animal that has ever lived on earth.,TRUE,young,female,"audio/True_63,_Voice_Y1.wav"
64,Tapeworms can reach up to 98 feet in length.,TRUE,young,female,"audio/True_64,_Voice_Y1.wav"
65,The center of a star can be over 50 million degrees Fahrenheit.,TRUE,young,female,"audio/True_65,_Voice_Y1.wav"
66,The U.S. was the first country to use a submarine in warfare.,TRUE,young,female,"audio/True_66,_Voice_Y1.wav"
67,Only female mosquitoes bite.,TRUE,young,female,"audio/True_67,_Voice_Y1.wav"
68,Coca Cola is only brown because of food coloring.,TRUE,young,female,"audio/True_68,_Voice_Y1.wav"
69,A shrimp’s heart is located in its head.,TRUE,young,female,"audio/True_69,_Voice_Y1.wav"
70,Honduras currently has the highest murder rate of any country in the world.,TRUE,young,female,"audio/True_70,_Voice_Y1.wav"
71,Women blink more frequently than do men.,TRUE,young,female,"audio/True_71,_Voice_Y1.wav"
72,Jupiter’s mass is approximately 317 times earth’s.,TRUE,young,female,"audio/True_72,_Voice_Y1.wav"
73,An iceberg contains significantly less total heat energy than a burning match.,FALSE,young,female,"audio/False_1,_Voice_Y1.wav"
74,The world’s first nuclear reactor was built in a tennis court,FALSE,young,female,"audio/False_2,_Voice_Y1.wav"
75,Some animals that lay eggs have belly buttons.,FALSE,young,female,"audio/False_3,_Voice_Y1.wav"
76,Adult beavers can hold their breath for up to 45 minutes under water.,FALSE,young,female,"audio/False_4,_Voice_Y1.wav"
77,A bee has 3 eyes.,FALSE,young,female,"audio/False_5,_Voice_Y1.wav"
78,A honeybee can fly at 35 mph.,FALSE,young,female,"audio/False_6,_Voice_Y1.wav"
79,"Studies suggest that ants can lift up to 50,000 times their own weight.",FALSE,young,female,"audio/False_7,_Voice_Y1.wav"
80,Camel’s milk curdles faster than cow’s milk.,FALSE,young,female,"audio/False_8,_Voice_Y1.wav"
81,The average ruby-throated hummingbird has the same weight as 3 nickels.,FALSE,young,female,"audio/False_9,_Voice_Y1.wav"
82,Almonds are part of the apple family.,FALSE,young,female,"audio/False_10,_Voice_Y1.wav"
83,A ball of rubber will bounce higher than a ball of glass.,FALSE,young,female,"audio/False_11,_Voice_Y1.wav"
84,Elephants can jump higher than humans.,FALSE,young,female,"audio/False_12,_Voice_Y1.wav"
85,Fourteen U.S. presidents have been only children.,FALSE,young,female,"audio/False_13,_Voice_Y1.wav"
86,"In the late 1900s, the United States Mint issued 2-cent and 3-cent coins.",FALSE,young,female,"audio/False_14,_Voice_Y1.wav"
87,The clownfish is the only animal that can turn its stomach inside out.,FALSE,young,female,"audio/False_15,_Voice_Y1.wav"
88,"If you keep a goldfish in a dark room, it will eventually turn black.",FALSE,young,female,"audio/False_16,_Voice_Y1.wav"
89,A seal can sleep while three-quarters of its brain remains awake.,FALSE,young,female,"audio/False_17,_Voice_Y1.wav"
90,A crocodile cannot stick out its tongue.,FALSE,young,female,"audio/False_18,_Voice_Y1.wav"
91,China has five official time zones.,FALSE,young,female,"audio/False_19,_Voice_Y1.wav"
92,Alabama is the only state that permits residents to cast absentee ballots from space.,FALSE,young,female,"audio/False_20,_Voice_Y1.wav"
93,The speed limit in New York City was fifteen mph in 1895.,FALSE,young,female,"audio/False_21,_Voice_Y1.wav"
94,"Before mercury, whisky was used to fill thermometers.",FALSE,young,female,"audio/False_22,_Voice_Y1.wav"
95,A female kangaroo is called a boomer.,FALSE,young,female,"audio/False_23,_Voice_Y1.wav"
96,Louisiana was named after Louis XVI.,FALSE,young,female,"audio/False_24,_Voice_Y1.wav"
97,The mouth of the Statue of Liberty is 7 feet wide.,FALSE,young,female,"audio/False_25,_Voice_Y1.wav"
98,Kangaroos can lick their own eyes.,FALSE,young,female,"audio/False_26,_Voice_Y1.wav"
99,There are towns named Sandwich in Arizona and Massachusetts.,FALSE,young,female,"audio/False_27,_Voice_Y1.wav"
100,Cows give more milk when milked in complete silence.,FALSE,young,female,"audio/False_28,_Voice_Y1.wav"
101,The state of Montana does not observe daylight savings time.,FALSE,young,female,"audio/False_29,_Voice_Y1.wav"
102,Half your body's red blood cells are replaced every three days.,FALSE,young,female,"audio/False_30,_Voice_Y1.wav"
103,Blood makes up about 11% of your body's weight,FALSE,young,female,"audio/False_31,_Voice_Y1.wav"
104,There are no species of fish which can walk on land.,FALSE,young,female,"audio/False_32,_Voice_Y1.wav"
105,A jellyfish is more than 70% water.,FALSE,young,female,"audio/False_33,_Voice_Y1.wav"
106,A starfish can release approximately 5 million eggs at once.,FALSE,young,female,"audio/False_34,_Voice_Y1.wav"
107,Jellyfish have two hearts.,FALSE,young,female,"audio/False_35,_Voice_Y1.wav"
108,Automobiles were invented before traffic lights.,FALSE,young,female,"audio/False_36,_Voice_Y1.wav"
109,Your heart stops momentarily when you sneeze.,FALSE,young,female,"audio/False_37,_Voice_Y1.wav"
110,Golf was invented before tennis.,FALSE,young,female,"audio/False_38,_Voice_Y1.wav"
111,Washing Machines were invented before dishwashers,FALSE,young,female,"audio/False_39,_Voice_Y1.wav"
112,"In colonial times, only the elite classes ate lobster.",FALSE,young,female,"audio/False_40,_Voice_Y1.wav"
113,"Harrisburg, Pennsylvania is the only U.S. state capital without a McDonalds.",FALSE,young,female,"audio/False_41,_Voice_Y1.wav"
114,Delaware never ratified the 18th Amendment (Prohibition).,FALSE,young,female,"audio/False_42,_Voice_Y1.wav"
115,Mississippi’s state birthday is on Valentine’s Day.,FALSE,young,female,"audio/False_43,_Voice_Y1.wav"
116,Camels have four eyelids on each eye.,FALSE,young,female,"audio/False_44,_Voice_Y1.wav"
117,Children tend to grow faster in the winter.,FALSE,young,female,"audio/False_45,_Voice_Y1.wav"
118,Venus rotates counter-clockwise.,FALSE,young,female,"audio/False_46,_Voice_Y1.wav"
119,A group of crows is called a crew.,FALSE,young,female,"audio/False_47,_Voice_Y1.wav"
120,Taiwan is the only country whose national flag is not rectangular.,FALSE,young,female,"audio/False_48,_Voice_Y1.wav"
121,Owls cannot see the color blue.,FALSE,young,female,"audio/False_49,_Voice_Y1.wav"
122,France has twice the land area of Colombia.,FALSE,young,female,"audio/False_50,_Voice_Y1.wav"
123,English is the official language of the United States.,FALSE,young,female,"audio/False_51,_Voice_Y1.wav"
124,An ostrich’s eye is half the size of its brain.,FALSE,young,female,"audio/False_52,_Voice_Y1.wav"
125,Gerald Ford was the first U.S. president born in a hospital.,FALSE,young,female,"audio/False_53,_Voice_Y1.wav"
126,James Monroe was the shortest U.S. president.,FALSE,young,female,"audio/False_54,_Voice_Y1.wav"
127,Four U.S. presidents have been awarded honorary knighthood.,FALSE,young,female,"audio/False_55,_Voice_Y1.wav"
128,Chameleons’ tongues can stretch to four times their body length.,FALSE,young,female,"audio/False_56,_Voice_Y1.wav"
129,The jaguar is the only cat that cannot retract its claws.,FALSE,young,female,"audio/False_57,_Voice_Y1.wav"
130,The large intestine is about 7 feet long.,FALSE,young,female,"audio/False_58,_Voice_Y1.wav"
131,The first trains went into operation in the 1690s.,FALSE,young,female,"audio/False_59,_Voice_Y1.wav"
132,The first VCR was made in 1973.,FALSE,young,female,"audio/False_60,_Voice_Y1.wav"
133,Roughly 7% of the world’s water is fresh water.,FALSE,young,female,"audio/False_61,_Voice_Y1.wav"
134,"In Ancient Egypt, a yard was the length of a man’s arm span.",FALSE,young,female,"audio/False_62,_Voice_Y1.wav"
135,The blue whale is the second largest animal that has ever lived on earth.,FALSE,young,female,"audio/False_63,_Voice_Y1.wav"
136,Tapeworms can reach up to 200 feet in length.,FALSE,young,female,"audio/False_64,_Voice_Y1.wav"
137,The center of a star can be over 75 million degrees Fahrenheit.,FALSE,young,female,"audio/False_65,_Voice_Y1.wav"
138,Germany was the first country to use a submarine in warfare.,FALSE,young,female,"audio/False_66,_Voice_Y1.wav"
139,Only male mosquitoes bite.,FALSE,young,female,"audio/False_67,_Voice_Y1.wav"
140,Coca Cola would be green without the added food coloring.,FALSE,young,female,"audio/False_68,_Voice_Y1.wav"
141,A shrimp’s heart is located in its abdomen.,FALSE,young,female,"audio/False_69,_Voice_Y1.wav"
142,Venezuela currently has the highest murder rate of any country in the world.,FALSE,young,female,"audio/False_70,_Voice_Y1.wav"
143,Men blink more frequently than do women.,FALSE,young,female,"audio/False_71,_Voice_Y1.wav"
144,Jupiter’s mass is more than 400 times that of the earth.,FALSE,young,female,"audio/False_72,_Voice_Y1.wav"
